4FGL-v30,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,pindex,curvature,e0,sin_b,uw_name,bb_var,association,category
4FGL J1717.6-5154,0.02230560449974576,386.899951575324,0.039060861284891925,-8.07862417430357,337.77391619872486,8.682175080016119e-12,20,fsrq,253.27125549316406,2.51786348,0.24976697015073324,1342.0285370375325,-0.14053186556076513,J1717.6-5155,1413.8356448715444,fsrq,fsrq
4FGL J1717.8+1955,0.010899656086228228,74.10659182455856,0.055613472469424184,29.194723583530703,41.675445033008785,1.8429479444889915e-12,3,,10.939657211303711,2.28887478,0.11043201016827098,1841.1733324069428,0.4877792689427111,J1717.7+1954,26.580899836092044,unid,unid
4FGL J1717.8+3925,0.0380242957581834,38.56375316588674,0.06332115718736249,34.267683315710045,63.90031595908698,5.474244373629888e-13,1,,11.654420852661133,2.10642763,0.5307552944206706,3302.73953843908,0.5630600130014513,J1717.6+3926,0.0002634489588899669,unid,unid
4FGL J1717.8-3906,0.008140101223618194,66.66908109467477,0.0881749176612746,-0.7661429445783197,348.35200025296194,7.756874714751137e-12,1,,10.914790153503418,2.57463271,0.3225488468376114,2626.0156250000045,-0.01337131844394407,J1717.8-3906,0.0012311264872550964,unid,unid
4FGL J1718.0-3726,0.003924786878286611,936.3914021719248,0.01661573238477611,0.16615795587387278,349.7229804026965,4.0758814078072974e-11,1,snr,7.667849540710449,2.13065277,0.09685928650277065,3639.881165591085,0.0028999993435365754,J1718.0-3726,-0.0,other,
4FGL J1718.0-3055,0.008020466309251961,246.144868850708,0.03893151094947623,3.906305473101716,355.0597215809501,9.152670104031529e-12,3,bcu,11.983489990234375,2.18983596,0.10822931805183345,3243.967528291043,0.06812508667162422,J1718.0-3055,24.823268574061217,bcu,bcu
4FGL J1718.2-3825,0.01762869412351302,3311.029943992384,0.018510411781130883,-0.42584672416275937,348.93834594286096,9.373471506688174e-11,1,PSR,5.880021572113037,1.584744,0.352164086565665,2165.5452686419603,-0.00743235901656808,J1718.1-3825,-0.0,psr,psr
4FGL J1718.3-3001,0.09379797403340646,79.80871730763465,0.158565497704209,4.479809721474197,355.8310048061239,5.8175542410602455e-12,2,unk,8.136985778808594,2.80105788,0.5299460944283019,1173.1640625000014,0.07810779031757412,J1717.9-2958,16.382807820897142,other,
4FGL J1718.6-5821,0.0375237673756646,129.41385543579236,0.1443588702628388,-11.75323869123206,332.4633228207929,5.430609116247779e-12,3,,11.860837936401367,2.55835951,0.0706529914452303,896.4153277713194,-0.2036970921683032,J1718.5-5819,21.090560810586794,unid,unid
4FGL J1719.0-4038,0.04574176327969409,32.8740372993052,0.14238508403091085,-1.8538670453236463,347.2607321398183,4.781370388516299e-12,1,,5.846987724304199,2.31293185,0.04631095206009128,4726.034971939069,-0.03235043844612407,J1719.2-4037,-0.0,unid,unid
4FGL J1719.0-4221,0.04030899802045778,94.03190972283484,0.09876410036986182,-2.7904245404334587,345.80680325160034,4.776168843850332e-12,1,,6.230154037475586,2.52524673,0.5299546111991238,2143.385357149844,-0.04868284533963419,J1718.8-4220,-0.0,unid,unid
4FGL J1719.1-5348,0.012521534762141137,41.95531034679152,0.06326493525326338,-9.309208903620577,336.3305915929116,2.414163626534364e-12,4,,11.666238784790039,2.26888979,0.04132723835519325,2850.9324379052327,-0.16176243207998814,J1719.0-5348,41.569996218987285,unid,unid
4FGL J1719.2+1745,0.0016197271010030322,2308.8595926194685,0.016674482964215007,28.096754774195453,39.528751160302285,1.4326760398525382e-11,13,bll,1395.20751953125,2.00041198,0.09888272469895654,1372.079886996747,0.4709619169082611,J1719.2+1745,1771.7044186245043,bll,bll
4FGL J1719.2-2943,0.04503748314580522,35.28059530351311,0.09054601735003721,4.411887152306858,356.1774136769298,2.3845182451921644e-12,2,spp,6.295146465301514,1.65489085,0.01310547049804267,22222.31973549284,0.07692588495529931,J1719.0-2943,0.14088024640670938,other,
4FGL J1719.3-3424,0.021592978548115684,45.51383270230144,0.11246057689760806,1.67418142924577,352.3655613582418,3.568262866017954e-12,1,,11.461738586425781,1.0,0.9524899325183855,2840.860161781311,0.02921582035597931,J1719.4-3425,-0.0,unid,unid
4FGL J1719.3+1205,0.021936401720614417,152.22024771210272,0.027448051081832976,25.84123265122708,33.72681188872934,2.912198765061207e-12,2,bcu,16.93980598449707,1.68770805,0.04384706326415744,10686.354738205198,0.43587889698888843,J1719.3+1206,15.18962617916793,bcu,bcu
4FGL J1719.4-2916,0.05957573207005611,94.23457203852011,0.13992742115400758,4.56421239714856,356.5570125655299,5.089203475547205e-12,2,,15.821871757507324,2.46189659,0.4493868734670503,1539.6043653878946,0.07957630917336676,J1719.5-2919,12.854870338667752,unid,unid
4FGL J1719.4-4242,0.03398708867360044,75.02579264901578,0.10757029773114501,-3.1203727544206084,345.5739028043246,5.756625754039158e-12,1,,17.810741424560547,2.45130507,0.1843110893827382,2523.6615245553435,-0.05443386088247377,J1719.6-4243,-0.0,unid,unid
4FGL J1719.5-3858c,0.07531833816207723,65.79205609392375,0.08007868473973219,-0.9895087769844048,348.7196278175073,7.459252548772613e-12,1,unk,10.161486625671387,2.57412885,0.3702501647393719,2557.4609375000045,-0.01726932764954093,J1719.8-3855,-0.0,other,
4FGL J1720.0-3117c,0.022762177166127988,80.10650919843465,0.1405278945473796,3.3248737528147965,355.00214346495846,1.276037417762859e-11,1,hmb,8.504190444946289,2.76531649,0.06451999731648117,1615.8631626049528,0.057997430540110806,J1720.1-3118,-0.0,other,
4FGL J1720.0-5101,0.208550561094934,50.626323632197455,0.19554492301072127,-7.8503329684335,338.5496569459411,4.423662929988093e-12,14,bcu,10.025045394897461,2.20228568,0.25655611485451146,759.8605180451784,-0.13658586817631893,J1719.1-5110,517.1366639372159,bcu,bcu
